Title,Author,Description,Article_Link,Cited_by,All_versions,Related_articles_Link
[BOOK][B] Measurement in the social sciences: The link between theory and data,"RA Zeller, EG Carmines - 1980 - books.google.com","… We analyze data from a variety of substantive domains to illustrate the generalized 
applicability of this approach to assessing measurements in the social sciences. Yet, our basic …",https://books.google.com/books?hl=en&lr=&id=5ws4AAAAIAAJ&oi=fnd&pg=PA1&dq=Data+Science&ots=TMq5xy3bMk&sig=rSWa3fo_3fstf3TGEFfeVrM3JzA,1378,3,"https://scholar.google.com/scholar?q=related:XY2EMon9MN8J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Citation indexes for science: A new dimension in documentation through association of ideas,"E Garfield - Science, 1955 - science.org","… for science literature that can eliminate the uncritical citation of fraudulent, incomplete, or 
obsolete data … than that of minimizing the citation of poor data, the index would be well worth the …",https://www.science.org/doi/pdf/10.1126/science.122.3159.108,3779,20,"https://scholar.google.com/scholar?q=related:hmG4LfmNcNgJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[BOOK][B] Statistics for spatial data,N Cressie - 2015 - books.google.com,"… the subject areas are classified according to the type of observations encountered, reflecting 
my belief that the roots of statistical science are in data. Statistical models, then, try to make …",https://books.google.com/books?hl=en&lr=&id=MzN_BwAAQBAJ&oi=fnd&pg=PP1&dq=Data+Science&ots=NM1huW4-5R&sig=pLgkoK_t4m_J4JgEZ89GPUxDFuM,23322,13,"https://scholar.google.com/scholar?q=related:zqpb1Oie9m0J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
An experimental platform for interpreting open-source health data though integration with dynamic disease models and geoplots,"E Rich, DF Andersen, W Augustine… - … conference on E …, 2015 - ieeexplore.ieee.org","… Siegel, ""Advanced data analytics for system dynamics models using PySD,"" presented at 
the 33rd International Conference of the System Dynamics Society, Cambridge MA, 2015. …",https://ieeexplore.ieee.org/abstract/document/7454480/,2,2,"https://scholar.google.com/scholar?q=related:g_8vMKkRm6MJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Learning analytics: Where information science and the learning sciences meet,"SD Teasley - Information and Learning Sciences, 2019 - emerald.com","… learning activities generates data at an … analytics (LA) with the aim of helping members of 
the information and learning sciences communities understand how educational Big Data is …",https://www.emerald.com/insight/content/doi/10.1108/ILS-06-2018-0045/full/html,30,2,"https://scholar.google.com/scholar?q=related:rxuiJ5zmYT4J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Dissecting racial bias in an algorithm used to manage the health of populations,"Z Obermeyer, B Powers, C Vogeli, S Mullainathan - Science, 2019 - science.org","… The dilemma of which label to choose relates to a growing literature on “problem formulation” 
in data science: the task of turning an often amorphous concept we wish to predict into a …",https://www.science.org/doi/abs/10.1126/science.aax2342,2304,18,"https://scholar.google.com/scholar?q=related:7fXfTKsHwQUJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[BOOK][B] Spatial data analysis in the social and environmental sciences,R Haining - 1993 - books.google.com,"… spatial data analysis as a part of general data analysis; to … of spatial data and the problems 
of computerised spatial data … of data is important in the social and environmental sciences …",https://books.google.com/books?hl=en&lr=&id=FFIsxD1rdrIC&oi=fnd&pg=PR13&dq=Data+Science&ots=v1S0r6xqBl&sig=UQ8Ifndn55DMDC80WYTdIGgLph8,1892,3,"https://scholar.google.com/scholar?q=related:7_AQrAgRq4cJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[BOOK][B] Longitudinal and panel data: analysis and applications in the social sciences,EW Frees - 2004 - books.google.com,"… also found in the biological sciences (where panel data analysis is known as longitudinal 
data analysis), this book may also appeal to researchers interested in the biological sciences. …",https://books.google.com/books?hl=en&lr=&id=seU3qmlejZIC&oi=fnd&pg=PR9&dq=Data+Science&ots=TaSYVmzTM6&sig=DmiWTvCeCF--G6py9YCGz5dIubA,1526,14,"https://scholar.google.com/scholar?q=related:2JwDG-x7zukJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
What “ideas‐about‐science” should be taught in school science? A Delphi study of the expert community,"J Osborne, S Collins, M Ratcliffe… - … of research in science …, 2003 - Wiley Online Library","… Second, comparison of our data with those of McComas and Olson suggests that, although 
there is some overlap, there are components present in each study which are missing from …",https://onlinelibrary.wiley.com/doi/abs/10.1002/tea.10105,1711,13,"https://scholar.google.com/scholar?q=related:xtImMvu3-AoJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Why IT fumbles analytics,"DA Marchand, J Peppard - Harvard business review, 2013 - dialnet.unirioja.es","… data and using information to make better decisions, managers need a different approach 
and mind-set. A big data or analytics … Equip teams with cognitive and behavioral scientists, …",https://dialnet.unirioja.es/servlet/articulo?codigo=4289558,197,,"https://scholar.google.com/scholar?q=related:TQhZYmv6gfYJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Impact of data sources on citation counts and rankings of LIS faculty: Web of Science versus Scopus and Google Scholar,"LI Meho, K Yang - … the american society for information science …, 2007 - Wiley Online Library","… , Science Citation Index, and Social Sciences Citation Index—the standard and most widely 
used tools for generating citation data … of what is known as Web of Science (WoS), the portal …",https://asistdl.onlinelibrary.wiley.com/doi/abs/10.1002/asi.20677,1303,24,"https://scholar.google.com/scholar?q=related:4ClqHbVq6mIJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Predictive analytics in information systems research,"G Shmueli, OR Koppius - MIS quarterly, 2011 - JSTOR","… However, in the con text of scientific research, the data-driven nature of predictive analytics 
is integrated with theoretical knowledge throughout the entire model building and evaluation …",https://www.jstor.org/stable/23042796,1292,21,"https://scholar.google.com/scholar?q=related:-M4kPwuq0h4J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
"Classification, clustering, and data analysis: recent advances and applications","K Jajuga, A Sokolowski, HH Bock - 2012 - books.google.com","… of IFCS in the scientific world of classification, clustering and data analysis, this volume collects 
a … Source for statisticians, data analysts, data mining specialists and computer scientists. …",https://books.google.com/books?hl=en&lr=&id=0YrsCAAAQBAJ&oi=fnd&pg=PR5&dq=Data+Science&ots=cS3G5LL47K&sig=fvUcvIi-5VSLon0GpyUTPZoIfzo,155,6,"https://scholar.google.com/scholar?q=related:sVsUOnjM6w0J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Reproducible research in computational science,"RD Peng - Science, 2011 - science.org","… high-dimensional data (1, 2). Large data sets have led to scientists doing more computation, 
… oriented fields directly engaging in more science. The availability of large public databases …",https://www.science.org/doi/abs/10.1126/science.1213847,1456,18,"https://scholar.google.com/scholar?q=related:eYqqo0QtkQwJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Sequence analysis and optimal matching techniques for social science data,"H MacIndoe, A Abbott - Handbook of data analysis, 2004 - torrossa.com","… between any given pair of sequences in the data. The pairwise distances output from the … 
in the data. These groupings answer the first basic question about sequence data–whether …",https://www.torrossa.com/gs/resourceProxy?an=4912063&publisher=FZ7200#page=406,280,,"https://scholar.google.com/scholar?q=related:2vrVzpDabQ0J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[BOOK][B] An introduction to statistical learning,"G James, D Witten, T Hastie, R Tibshirani - 2013 - Springer","… across the United States and worldwide, as well as a key reference book for data scientists. 
… statisticians and data scientists the tools they need for success in a data-driven world. …",https://link.springer.com/content/pdf/10.1007/978-1-0716-1418-1.pdf,16940,27,"https://scholar.google.com/scholar?q=related:Z2-9IIxHTBkJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[BOOK][B] Quantitative data analysis with SPSS 12 and 13: A guide for social scientists,"A Bryman, D Cramer - 2005 - books.google.com","… If we take the first issue - why should social science students study quantitative data … 
undertaken by social scientists is designed to generate or draws upon quantitative data. In order to …",https://books.google.com/books?hl=en&lr=&id=GHMgxwYHbREC&oi=fnd&pg=PR13&dq=Data+Science&ots=ldsveJ3z1Q&sig=tORJe2lq2tJgZAQxsOAjoVFm2o8,1342,3,"https://scholar.google.com/scholar?q=related:ccvkUP2fapEJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
The Danish National Hospital Register. A valuable source of data for modern health sciences.,"TF Andersen, M Madsen, J Jørgensen… - Danish medical …, 1999 - europepmc.org","… nationwide data on all somatic hospital admissions since 1977, and since 1995 data on … 
the LPR is truly a valuable source of data for health sciences, especially in epidemiology, health …",https://europepmc.org/article/med/10421985,2152,7,"https://scholar.google.com/scholar?q=related:-lO5653sDOEJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[HTML][HTML] An integrated TCGA pan-cancer clinical data resource to drive high-quality survival outcome analytics,"J Liu, T Lichtenberg, KA Hoadley, LM Poisson… - Cell, 2018 - Elsevier","… events in primary cancers and to provide these data to the public for use by researchers … of 
TCGA molecular data have been lauded by a large number of scientists, and these data have …",https://www.sciencedirect.com/science/article/pii/S0092867418302290,1926,48,"https://scholar.google.com/scholar?q=related:_PtUPUl8FCMJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
MassBank: a public repository for sharing mass spectral data for life sciences,"H Horai, M Arita, S Kanaya, Y Nihei… - Journal of mass …, 2010 - Wiley Online Library","… Researchers are encouraged to annotate/describe every detail of their experimental data, … 
experimental data is required for other scientists to confirm the quality of experimental data.[…",https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/jms.1777,1925,14,"https://scholar.google.com/scholar?q=related:oZ44Ij-qlMQJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
"ENDF/B-VII. 1 nuclear data for science and technology: cross sections, covariances, fission product yields and decay data","MB Chadwick, M Herman, P Obložinský, ME Dunn… - Nuclear data sheets, 2011 - Elsevier","The ENDF/B-VII.1 library is our latest recommended evaluated nuclear data file for use in 
nuclear science and technology applications, and incorporates advances made in the five …",https://www.sciencedirect.com/science/article/pii/S009037521100113X,3059,11,"https://scholar.google.com/scholar?q=related:LiadT25AN64J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[BOOK][B] Numerical linear algebra,"LN Trefethen, D Bau - 2022 - books.google.com","… data science, engineering, and the physical sciences. Major developments in the 25 years 
since this book was first published, which are nicely highlighted by Yuji Nakatsukasa, show …",https://books.google.com/books?hl=en&lr=&id=kQWlEAAAQBAJ&oi=fnd&pg=PR4&dq=Data+Science&ots=oadTHxpSe3&sig=rtFl37sr1Mi8vIWLdUrreeREHYU,6040,14,"https://scholar.google.com/scholar?q=related:yvmKGCl389UJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Human-level concept learning through probabilistic program induction,"BM Lake, R Salakhutdinov, JB Tenenbaum - Science, 2015 - science.org","… —that have been separately influential in cognitive science and machine learning over the 
past … The tasks use simple visual concepts from Omniglot, a data set we collected of multiple …",https://www.science.org/doi/abs/10.1126/science.aab3050,2899,29,"https://scholar.google.com/scholar?q=related:uuHhCVjGYKQJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
A capability maturity model for scientific data management: Evidence from the literature,"K Crowston, J Qin - … American Society for Information Science …, 2011 - Wiley Online Library","… We selected approximately 20 articles and reports in the areas of data curation, data 
management, and data science. The selected articles were imported into the content analysis …",https://asistdl.onlinelibrary.wiley.com/doi/abs/10.1002/meet.2011.14504801036,82,9,"https://scholar.google.com/scholar?q=related:B9OE82-OSQsJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Physical and virtual laboratories in science and engineering education,"T De Jong, MC Linn, ZC Zacharia - Science, 2013 - science.org","… science and who view science … science experiences. Today, students can investigate scientific 
phenomena using the tools, data collection techniques, models, and theories of science in …",https://www.science.org/doi/abs/10.1126/science.1230579,1041,19,"https://scholar.google.com/scholar?q=related:ohqrjVxHTJcJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[BOOK][B] Quantitative data analysis with SPSS release 10 for Windows: A guide for social scientists,"A Bryman, D Cramer - 2002 - books.google.com","… If we take the first issue — why should social science students study quantitative data … 
undertaken by social scientists is designed to generate or draws upon quantitative data. In order to …",https://books.google.com/books?hl=en&lr=&id=pDnMgFh1nEEC&oi=fnd&pg=PR3&dq=Data+Science&ots=vsL6f6sloT&sig=wkcFXiCjbcx0_vsmMoXPUWzJAIE,2244,12,"https://scholar.google.com/scholar?q=related:8z9dFwAVj8gJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[HTML][HTML] TurkPrime. com: A versatile crowdsourcing data acquisition platform for the behavioral sciences,"L Litman, J Robinson, T Abberbock - Behavior research methods, 2017 - Springer","In recent years, Mechanical Turk (MTurk) has revolutionized social science by providing a 
way to collect behavioral data with unprecedented speed and efficiency. However, MTurk was …",https://link.springer.com/article/10.3758/s13428-016-0727-z,1836,13,"https://scholar.google.com/scholar?q=related:nCHGcEECUTwJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[BOOK][B] Bayesian logical data analysis for the physical sciences: a comparative approach with mathematica® support,P Gregory - 2005 - books.google.com,"… and mathematically manipulating the data. All of the course assignments involve the use 
of … scientists with no previous experience with Mathematica to efficiently exploit it for data …",https://books.google.com/books?hl=en&lr=&id=idkLAQAAQBAJ&oi=fnd&pg=PR13&dq=Data+Science&ots=ntCa4poyem&sig=rW1TAY087Ph2PQ9dC9qFODkUi5E,1294,5,"https://scholar.google.com/scholar?q=related:G8exYqIbxN0J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Reducing the dimensionality of data with neural networks,"GE Hinton, RR Salakhutdinov - science, 2006 - science.org","… data, generalize it to real-valued data, and show that it works well for a variety of data sets. … 
—when they are being driven by the data—as data for learning a second layer of features. …",https://www.science.org/doi/abs/10.1126/science.1127647,20063,28,"https://scholar.google.com/scholar?q=related:vL40EZQh89QJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
"Calibration of the computer science and applications, inc. accelerometer.","PS Freedson, E Melanson, J Sirard - … and science in sports and …, 1998 - europepmc.org","… counts and body mass was developed using data from a random sample of 35 subjects (r2 
= 0.82, SEE = 1.40 kcal x min(-1)). Cross validation with data from the remaining 15 subjects …",https://europepmc.org/article/med/9588623,4245,9,"https://scholar.google.com/scholar?q=related:mLDiAzHk9Z0J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
"Learning analytics: drivers, developments and challenges","R Ferguson - International Journal of Technology …, 2012 - inderscienceonline.com","… analytics, including their origins in the 20th century, the development of data-driven analytics, 
the … between learning analytics, educational data mining and academic analytics. Finally, it …",https://www.inderscienceonline.com/doi/abs/10.1504/IJTEL.2012.051816,1605,4,"https://scholar.google.com/scholar?q=related:IP5M2hoU1GEJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[PDF][PDF] The end of theory: The data deluge makes the scientific method obsolete,"C Anderson - Wired magazine, 2008 - statlit.org","… Our ability to capture, warehouse, and understand massive amounts of data is changing 
science, medicine, business, and technology. As our collection of facts and figures grows, so …",http://statlit.org/pdf/2008EndOfTheory-DataDelugeMakesScientificMethodObsolete-WiredMagazine.pdf,3347,9,"https://scholar.google.com/scholar?q=related:JJZch_Fws2AJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Tweeting from left to right: Is online political communication more than an echo chamber?,"P Barberá, JT Jost, J Nagler, JA Tucker… - … science, 2015 - journals.sagepub.com","… The use of social-media data satisfies the first condition, but, … We exploited an underutilized 
dimension of social-media data … We analyzed “big data” sources to investigate both of these …",https://journals.sagepub.com/doi/pdf/10.1177/0956797615594620,1716,9,"https://scholar.google.com/scholar?q=related:HYqdoZNphLsJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[BOOK][B] Analysis of panel data,C Hsiao - 2022 - books.google.com,"… We conclude with a chapter on the challenges of big data analytics to panel data analysis. 
However, no single monograph can cover the enormous contributions to panel data analysis. …",https://books.google.com/books?hl=en&lr=&id=DHtrEAAAQBAJ&oi=fnd&pg=PR13&dq=Data+Science&ots=QSk6sL0zt2&sig=7RXHXwfc4Bqf1NVCyxL1gtxG_-Q,16535,13,"https://scholar.google.com/scholar?q=related:xOJ5FMZ0uI4J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Data-driven discovery of partial differential equations,"SH Rudy, SL Brunton, JL Proctor, JN Kutz - Science advances, 2017 - science.org","… , data storage, and computational resources, have a transformative impact on the sciences, 
facilitating a variety of innovations for characterizing high-dimensional data generated from …",https://www.science.org/doi/abs/10.1126/sciadv.1602614,1082,11,"https://scholar.google.com/scholar?q=related:1HY7hO6UwsEJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Clustering by passing messages between data points,"BJ Frey, D Dueck - science, 2007 - science.org","… simultaneously considers all data points as potential exemplars. By viewing each data point 
as … the current affinity that one data point has for choosing another data point as its exemplar, …",https://www.science.org/doi/abs/10.1126/science.1136800,7481,36,"https://scholar.google.com/scholar?q=related:meuY0Y2C_EIJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Machine learning for molecular and materials science,"KT Butler, DW Davies, H Cartwright, O Isayev, A Walsh - Nature, 2018 - nature.com","… are available, in chemistry or materials science we are often limited to hundreds or thousands, 
if not fewer, high-quality data points. Researchers need to become better at making the …",https://www.nature.com/articles/s41586-018-0337-2,2348,19,"https://scholar.google.com/scholar?q=related:5SjoWWyDFsgJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Big data: New tricks for econometrics,"HR Varian - Journal of Economic Perspectives, 2014 - aeaweb.org","… Data science, a somewhat newer term, is concerned with both prediction and 
summarization, but also with data manipulation, visualization, and other similar tasks. Note that …",https://www.aeaweb.org/articles?id=10.1257/jep.28.2.3,1792,20,"https://scholar.google.com/scholar?q=related:W5NvpOwIIjYJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
"Conceptual approaches for defining data, information, and knowledge","C Zins - Journal of the American society for information science …, 2007 - Wiley Online Library","… of data, information, and knowledge, which are the foci of this article, are fundamental in the 
context of information science… formulation of systematic conceptions of data, information, and …",https://asistdl.onlinelibrary.wiley.com/doi/abs/10.1002/asi.20508,1254,12,"https://scholar.google.com/scholar?q=related:JXZokrhEfskJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[BOOK][B] Data compression: the complete reference,D Salomon - 2004 - books.google.com,"… The intended readership of this book is those who have a basic knowledge of computer 
science, who know something about programming and data structures, who feel …",https://books.google.com/books?hl=en&lr=&id=PT1fcX321I4C&oi=fnd&pg=PR7&dq=Data+Science&ots=5j37kXGWvP&sig=PMvYYLMQYKRO4yaZz-yYQxn2bE4,3591,10,"https://scholar.google.com/scholar?q=related:jJKo18T9rzAJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[BOOK][B] Semiconductors: data handbook,O Madelung - 2004 - books.google.com,"… To satisfy an urgent need of many scientists working in the field of semiconductor physics … 
data of their field of interest this volume contains the most important data of semiconductors. All …",https://books.google.com/books?hl=en&lr=&id=v_8sMfNAcA4C&oi=fnd&pg=PA1&dq=Data+Science&ots=3XJi0g0I-L&sig=hGDRQBeWc2s22GR_b8Uiz8floQQ,2974,5,"https://scholar.google.com/scholar?q=related:HAUXtRG7KbQJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Next steps for citizen science,"R Bonney, JL Shirk, TB Phillips, A Wiggins, HL Ballard… - Science, 2014 - science.org","… science citing concerns about data quality. With appropriate protocols, training, and oversight, 
volunteers can collect data of … truly do science—that produce reliable data and information …",https://www.science.org/doi/abs/10.1126/science.1251554,1261,18,"https://scholar.google.com/scholar?q=related:Hnz1ikVpEjcJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Some models for estimating technical and scale inefficiencies in data envelopment analysis,"RD Banker, A Charnes, WW Cooper - Management science, 1984 - pubsonline.informs.org","… Data Envelopment Analysis approach, comprehends both technical and scale inefficiencies 
via the optimal value of the ratio form, as obtained directly from the data … observational data. …",https://pubsonline.informs.org/doi/abs/10.1287/mnsc.30.9.1078,24851,16,"https://scholar.google.com/scholar?q=related:rtzK1vr5aa8J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Detecting novel associations in large data sets,"DN Reshef, YA Reshef, HK Finucane, SR Grossman… - science, 2011 - science.org","… We demonstrate the application of MIC and MINE to data sets in health, baseball, genomics, 
… data to encapsulate that relationship. Thus, to calculate the MIC of a set of two-variable data…",https://www.science.org/doi/abs/10.1126/science.1205438,2657,30,"https://scholar.google.com/scholar?q=related:wUB4TnufCe4J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
The conundrum of sharing research data,"CL Borgman - … of the American Society for Information Science …, 2012 - Wiley Online Library","… sciences and social sciences relies on empirical data of some sort. Scholars in the humanities 
often collect data, … , librarians, archivists, data scientists, and systems developers together …",https://asistdl.onlinelibrary.wiley.com/doi/abs/10.1002/asi.22634,1047,11,"https://scholar.google.com/scholar?q=related:ruUZ9o-L6WAJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[BOOK][B] The science of self-report: Implications for research and practice,"AA Stone, CA Bachrach, JB Jobe, HS Kurtzman… - 1999 - books.google.com","… It is clear that both the limitations of self-report data as well as the new methods for improving 
self-report need to be known by clinicians and scientists using such data. Yet, scientists …",https://books.google.com/books?hl=en&lr=&id=k9p4AgAAQBAJ&oi=fnd&pg=PP1&dq=Data+Science&ots=OMAJcA_i3n&sig=MoxadGBi6_DYhtr0b8uE3idPsJg,945,3,"https://scholar.google.com/scholar?q=related:mW2T60FVg4gJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Linking crystallographic model and data quality,"PA Karplus, K Diederichs - Science, 2012 - science.org","… data, CC 1/2 measures the correlation of one noisy data set (the first half-data set) with another 
noisy data set (the other half-data set), … fields of science involving multiply measured data. …",https://www.science.org/doi/abs/10.1126/science.1218231,1816,18,"https://scholar.google.com/scholar?q=related:67BiVj_3-2gJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Citizen science: a developing tool for expanding science knowledge and scientific literacy,"R Bonney, CB Cooper, J Dickinson, S Kelling… - …, 2009 - academic.oup.com","… projects have been remarkably successful in advancing scientific knowledge, and contributions 
from citizen scientists now provide a vast quantity of data about species occurrence and …",https://academic.oup.com/bioscience/article-abstract/59/11/977/251421,2569,13,"https://scholar.google.com/scholar?q=related:jGhxEE1R5cQJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Ancillary data services of NASA's navigation and ancillary information facility,"CH Acton Jr - Planetary and Space Science, 1996 - Elsevier","… Telemetered data returned from space science instruments achieves its full potential only … 
ancillary data needed to provide a scientist with the inherent physical meaning. Ancillary data …",https://www.sciencedirect.com/science/article/pii/0032063395001077,993,6,"https://scholar.google.com/scholar?q=related:r0op2xxbHRMJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
"Modeling data and process quality in multi-input, multi-output information systems","DP Ballou, HL Pazer - Management science, 1985 - pubsonline.informs.org","… This paper presents a general model to assess the impact of data and process quality … data 
flow/data processing quality control model is designed to address several dimensions of data …",https://pubsonline.informs.org/doi/abs/10.1287/mnsc.31.2.150,871,8,"https://scholar.google.com/scholar?q=related:hjqOc5r4LW0J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Resetting central and peripheral circadian oscillators in transgenic rats,"S Yamazaki, R Numano, M Abe, A Hida, R Takahashi… - Science, 2000 - science.org","… General activity was monitored using the Data Quest system (Data Science International). 
Light was produced by a 40-W fluorescent lamp (Philips) (30 to 60 μW/cm 2 ; about 100 to 200 …",https://www.science.org/doi/abs/10.1126/science.288.5466.682,2182,21,"https://scholar.google.com/scholar?q=related:_RRYV0jYJKYJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Modeling multilevel data structures,"MR Steenbergen, BS Jones - american Journal of political Science, 2002 - JSTOR","… Political scientists frequently work with data measured … data, and aggregate contextual or 
demographic data. As such, the use of multilevel data structures is common in political science …",https://www.jstor.org/stable/3088424,2093,8,"https://scholar.google.com/scholar?q=related:y7GOh781mKYJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
The Herschel data processing system-HIPE and pipelines-up and running since the start of the mission,"S Ott, HS Centre, ES Agency - arXiv preprint arXiv:1011.1209, 2010 - arxiv.org","… 2009 the Herschel Data Processing System demonstrated its … of reception of the first science 
data after launch. Also the first … cycle between data retrieval and the production of science-…",https://arxiv.org/abs/1011.1209,874,5,"https://scholar.google.com/scholar?q=related:IOqWSVW8Ub4J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
"[BOOK][B] The elements of statistical learning: data mining, inference, and prediction","T Hastie, R Tibshirani, JH Friedman, JH Friedman - 2009 - Springer","… data has led to the development of new tools in the field of statistics, and spawned new areas 
such as data … statisticians and anyone interested in data mining in science or industry. The …",https://link.springer.com/book/10.1007/978-0-387-21606-5,70544,33,"https://scholar.google.com/scholar?q=related:MJrV0kNG3JcJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
The effect of human mobility and control measures on the COVID-19 epidemic in China,"…, DM Pigott, Open COVID-19 Data Working Group†… - Science, 2020 - science.org","… mobility data from Wuhan and detailed case data including … explained well by human mobility 
data. After the implementation … -time mobility data, crowdsourced line list data of cases with …",https://www.science.org/doi/abs/10.1126/science.abb4218,2574,24,"https://scholar.google.com/scholar?q=related:KiLS0efZdn0J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
A clustering technique for summarizing multivariate data,"GH Ball, DJ Hall - Behavioral science, 1967 - Wiley Online Library","… of such data, is described. The resulting description of the data provides a fit to the data of 
a set of cluster centers that tends to miaimize the sum of the squared distances of each data …",https://onlinelibrary.wiley.com/doi/abs/10.1002/bs.3830120210,1334,7,"https://scholar.google.com/scholar?q=related:sSpx7_xaPmcJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[BOOK][B] The NASA/National Space Science Data Center: Trapped Radiation Environment Model Program (1964-1991),JI Vette - 1991 - books.google.com,"… data through 1968 to the National Space Science Data Center (NSSDC) archive. Thus, 
there was a tremendous amount of data … as a body to synthesize their data for the purpose of …",https://books.google.com/books?hl=en&lr=&id=DfPvAAAAMAAJ&oi=fnd&pg=PA1&dq=Data+Science&ots=_X3j-AFsiO&sig=1ssN6Dr1PKnyDt-17LTRAeTfcwM,194,6,"https://scholar.google.com/scholar?q=related:qb0gCmRBDNsJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[HTML][HTML] Gaia data release 2-summary of the contents and survey properties,"AGA Brown, A Vallenari, T Prusti… - Astronomy & …, 2018 - aanda.org","… We present the second intermediate Gaia data release (Gaia Data Release 2, Gaia DR2), 
which is based on the data collected during the first 22 months of the nominal mission lifetime (…",https://www.aanda.org/articles/aa/abs/2018/08/aa33051-18/aa33051-18.html,5392,47,"https://scholar.google.com/scholar?q=related:YWLTip2fEiAJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Multidisciplinary research priorities for the COVID-19 pandemic: a call for action for mental health science,"EA Holmes, RC O'Connor, VH Perry, I Tracey… - The Lancet …, 2020 - Elsevier","… This will facilitate comparisons between data and projects. The urgency of the research … 
open science, reproducibility, and data sharing. The ready availability of analysis code and data …",https://www.sciencedirect.com/science/article/pii/S2215036620301681,5317,41,"https://scholar.google.com/scholar?q=related:YikK6gNZ-PAJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
